created_by,created_on,data,id
2023-06-08 15:52:31.484198,2023-06-08 15:52:31.484176,"{""base"":""stations"",""city"":""Pokhara"",""clouds"":{""all"":53},""cod"":200,""coord"":{""lat"":28.2333,""lon"":83.9833},""dt"":1686239406,""id"":1282898,""main"":{""feels_like"":26.36,""grnd_level"":906,""humidity"":29,""pressure"":1004,""sea_level"":1004,""temp"":26.96,""temp_max"":26.96,""temp_min"":26.96},""name"":""Pokhara"",""sys"":{""country"":""NP"",""sunrise"":1686180406,""sunset"":1686230370,""id"":null,""type"":null},""timezone"":20700,""visibility"":10000,""weather"":[{""description"":""broken clouds"",""icon"":""04n"",""id"":803,""main"":""Clouds""}],""wind"":{""deg"":359,""gust"":3.29,""speed"":3.49}}",f159e093-0337-4331-bee3-cee36f2c74d3
2023-06-08 11:47:40.836165,2023-06-08 11:47:40.836148,"{""base"":""stations"",""city"":""Kirtipur"",""clouds"":{""all"":40},""cod"":200,""coord"":{""lat"":27.6667,""lon"":85.2833},""dt"":1686224860,""id"":1282946,""main"":{""feels_like"":30.05,""grnd_level"":null,""humidity"":40,""pressure"":1007,""sea_level"":null,""temp"":30.31,""temp_max"":30.31,""temp_min"":29.96},""name"":""Pā̃gā Biṣṇudevi̇̄"",""sys"":{""country"":""NP"",""sunrise"":1686180170,""sunset"":1686229982,""id"":2080684,""type"":2},""timezone"":20700,""visibility"":8000,""weather"":[{""description"":""scattered clouds"",""icon"":""03d"",""id"":802,""main"":""Clouds""}],""wind"":{""deg"":290,""gust"":null,""speed"":3.6}}",bcfac20b-74c3-4ec9-aa9f-4c700de48d95
2023-06-08 12:48:53.658450,2023-06-08 12:48:53.658434,"{""base"":""stations"",""city"":""Kirtipur"",""clouds"":{""all"":40},""cod"":200,""coord"":{""lat"":27.6667,""lon"":85.2833},""dt"":1686228533,""id"":1282946,""main"":{""feels_like"":29.87,""grnd_level"":null,""humidity"":44,""pressure"":1008,""sea_level"":null,""temp"":29.75,""temp_max"":29.96,""temp_min"":29.75},""name"":""Pā̃gā Biṣṇudevi̇̄"",""sys"":{""country"":""NP"",""sunrise"":1686180170,""sunset"":1686229982,""id"":2080684,""type"":2},""timezone"":20700,""visibility"":8000,""weather"":[{""description"":""scattered clouds"",""icon"":""03d"",""id"":802,""main"":""Clouds""}],""wind"":{""deg"":290,""gust"":null,""speed"":3.6}}",a6acb625-360a-47fb-a005-4fdd020ba4cc
2023-06-08 10:46:32.204903,2023-06-08 10:46:32.204885,"{""base"":""stations"",""city"":""Kirtipur"",""clouds"":{""all"":40},""cod"":200,""coord"":{""lat"":27.6667,""lon"":85.2833},""dt"":1686221192,""id"":1282946,""main"":{""feels_like"":30.18,""grnd_level"":null,""humidity"":41,""pressure"":1007,""sea_level"":null,""temp"":30.31,""temp_max"":30.96,""temp_min"":30.31},""name"":""Pā̃gā Biṣṇudevi̇̄"",""sys"":{""country"":""NP"",""sunrise"":1686180170,""sunset"":1686229982,""id"":2080684,""type"":2},""timezone"":20700,""visibility"":8000,""weather"":[{""description"":""scattered clouds"",""icon"":""03d"",""id"":802,""main"":""Clouds""}],""wind"":{""deg"":280,""gust"":null,""speed"":4.12}}",44c1bef7-b639-44e2-adad-9a50ccb9cab0
2023-06-08 13:50:05.494067,2023-06-08 13:50:05.494050,"{""base"":""stations"",""city"":""Kirtipur"",""clouds"":{""all"":75},""cod"":200,""coord"":{""lat"":27.6667,""lon"":85.2833},""dt"":1686232205,""id"":1282946,""main"":{""feels_like"":28.99,""grnd_level"":null,""humidity"":48,""pressure"":1009,""sea_level"":null,""temp"":28.64,""temp_max"":28.64,""temp_min"":27.96},""name"":""Pā̃gā Biṣṇudevi̇̄"",""sys"":{""country"":""NP"",""sunrise"":1686180170,""sunset"":1686229982,""id"":2080684,""type"":2},""timezone"":20700,""visibility"":8000,""weather"":[{""description"":""broken clouds"",""icon"":""04n"",""id"":803,""main"":""Clouds""}],""wind"":{""deg"":200,""gust"":null,""speed"":3.6}}",0455f39a-6905-49fb-9754-ba475ea49640
2023-06-08 14:51:22.912692,2023-06-08 14:51:22.912678,"{""base"":""stations"",""city"":""Kirtipur"",""clouds"":{""all"":75},""cod"":200,""coord"":{""lat"":27.6667,""lon"":85.2833},""dt"":1686235882,""id"":1282946,""main"":{""feels_like"":27.57,""grnd_level"":null,""humidity"":53,""pressure"":1009,""sea_level"":null,""temp"":26.97,""temp_max"":26.97,""temp_min"":26.96},""name"":""Pā̃gā Biṣṇudevi̇̄"",""sys"":{""country"":""NP"",""sunrise"":1686180170,""sunset"":1686229982,""id"":2080684,""type"":2},""timezone"":20700,""visibility"":8000,""weather"":[{""description"":""broken clouds"",""icon"":""04n"",""id"":803,""main"":""Clouds""}],""wind"":{""deg"":100,""gust"":null,""speed"":3.6}}",13ab77d9-2f56-473c-b576-8771c5a48635
2023-06-08 16:54:00.651966,2023-06-08 16:54:00.651940,"{""base"":""stations"",""city"":""Kirtipur"",""clouds"":{""all"":20},""cod"":200,""coord"":{""lat"":27.6667,""lon"":85.2833},""dt"":1686243240,""id"":1282946,""main"":{""feels_like"":25.38,""grnd_level"":null,""humidity"":57,""pressure"":1011,""sea_level"":null,""temp"":25.31,""temp_max"":25.31,""temp_min"":24.96},""name"":""Pā̃gā Biṣṇudevi̇̄"",""sys"":{""country"":""NP"",""sunrise"":1686180170,""sunset"":1686229982,""id"":2080684,""type"":2},""timezone"":20700,""visibility"":8000,""weather"":[{""description"":""few clouds"",""icon"":""02n"",""id"":801,""main"":""Clouds""}],""wind"":{""deg"":90,""gust"":null,""speed"":3.09}}",c1e2002f-1625-4453-adce-0a55b11fb19c
2023-06-08 15:52:40.212936,2023-06-08 15:52:40.212920,"{""base"":""stations"",""city"":""Kirtipur"",""clouds"":{""all"":20},""cod"":200,""coord"":{""lat"":27.6667,""lon"":85.2833},""dt"":1686239560,""id"":1282946,""main"":{""feels_like"":25.96,""grnd_level"":null,""humidity"":56,""pressure"":1010,""sea_level"":null,""temp"":25.86,""temp_max"":25.86,""temp_min"":24.96},""name"":""Pā̃gā Biṣṇudevi̇̄"",""sys"":{""country"":""NP"",""sunrise"":1686180170,""sunset"":1686229982,""id"":2080684,""type"":2},""timezone"":20700,""visibility"":8000,""weather"":[{""description"":""few clouds"",""icon"":""02n"",""id"":801,""main"":""Clouds""}],""wind"":{""deg"":90,""gust"":null,""speed"":3.6}}",f159e093-0337-4331-bee3-cee36f2c74d3
2023-06-08 11:47:49.987069,2023-06-08 11:47:49.987044,"{""base"":""stations"",""city"":""Kathmandu"",""clouds"":{""all"":40},""cod"":200,""coord"":{""lat"":27.7167,""lon"":85.3167},""dt"":1686224869,""id"":1282682,""main"":{""feels_like"":30.25,""grnd_level"":null,""humidity"":40,""pressure"":1007,""sea_level"":null,""temp"":30.47,""temp_max"":30.47,""temp_min"":30.12},""name"":""Thapathali"",""sys"":{""country"":""NP"",""sunrise"":1686180156,""sunset"":1686229980,""id"":2080684,""type"":2},""timezone"":20700,""visibility"":8000,""weather"":[{""description"":""scattered clouds"",""icon"":""03d"",""id"":802,""main"":""Clouds""}],""wind"":{""deg"":290,""gust"":null,""speed"":3.6}}",bcfac20b-74c3-4ec9-aa9f-4c700de48d95
2023-06-08 12:49:02.289313,2023-06-08 12:49:02.289296,"{""base"":""stations"",""city"":""Kathmandu"",""clouds"":{""all"":40},""cod"":200,""coord"":{""lat"":27.7167,""lon"":85.3167},""dt"":1686228409,""id"":1282682,""main"":{""feels_like"":30.07,""grnd_level"":null,""humidity"":44,""pressure"":1008,""sea_level"":null,""temp"":29.91,""temp_max"":30.12,""temp_min"":29.91},""name"":""Thapathali"",""sys"":{""country"":""NP"",""sunrise"":1686180156,""sunset"":1686229980,""id"":2080684,""type"":2},""timezone"":20700,""visibility"":8000,""weather"":[{""description"":""scattered clouds"",""icon"":""03d"",""id"":802,""main"":""Clouds""}],""wind"":{""deg"":290,""gust"":null,""speed"":3.6}}",a6acb625-360a-47fb-a005-4fdd020ba4cc
2023-06-08 10:46:40.234785,2023-06-08 10:46:40.234770,"{""base"":""stations"",""city"":""Kathmandu"",""clouds"":{""all"":40},""cod"":200,""coord"":{""lat"":27.7167,""lon"":85.3167},""dt"":1686221130,""id"":1282682,""main"":{""feels_like"":30.38,""grnd_level"":null,""humidity"":41,""pressure"":1008,""sea_level"":null,""temp"":30.47,""temp_max"":31.12,""temp_min"":30.47},""name"":""Thapathali"",""sys"":{""country"":""NP"",""sunrise"":1686180156,""sunset"":1686229980,""id"":2080684,""type"":2},""timezone"":20700,""visibility"":8000,""weather"":[{""description"":""scattered clouds"",""icon"":""03d"",""id"":802,""main"":""Clouds""}],""wind"":{""deg"":280,""gust"":null,""speed"":4.12}}",44c1bef7-b639-44e2-adad-9a50ccb9cab0
2023-06-08 13:50:14.599840,2023-06-08 13:50:14.599816,"{""base"":""stations"",""city"":""Kathmandu"",""clouds"":{""all"":75},""cod"":200,""coord"":{""lat"":27.7167,""lon"":85.3167},""dt"":1686232006,""id"":1282682,""main"":{""feels_like"":29.18,""grnd_level"":null,""humidity"":48,""pressure"":1009,""sea_level"":null,""temp"":28.8,""temp_max"":28.8,""temp_min"":28.12},""name"":""Thapathali"",""sys"":{""country"":""NP"",""sunrise"":1686180156,""sunset"":1686229980,""id"":2080684,""type"":2},""timezone"":20700,""visibility"":8000,""weather"":[{""description"":""broken clouds"",""icon"":""04n"",""id"":803,""main"":""Clouds""}],""wind"":{""deg"":200,""gust"":null,""speed"":3.6}}",0455f39a-6905-49fb-9754-ba475ea49640
2023-06-08 14:51:31.169627,2023-06-08 14:51:31.169611,"{""base"":""stations"",""city"":""Kathmandu"",""clouds"":{""all"":75},""cod"":200,""coord"":{""lat"":27.7167,""lon"":85.3167},""dt"":1686235593,""id"":1282682,""main"":{""feels_like"":27.74,""grnd_level"":null,""humidity"":53,""pressure"":1009,""sea_level"":null,""temp"":27.13,""temp_max"":27.13,""temp_min"":27.12},""name"":""Thapathali"",""sys"":{""country"":""NP"",""sunrise"":1686180156,""sunset"":1686229980,""id"":2080684,""type"":2},""timezone"":20700,""visibility"":8000,""weather"":[{""description"":""broken clouds"",""icon"":""04n"",""id"":803,""main"":""Clouds""}],""wind"":{""deg"":100,""gust"":null,""speed"":3.6}}",13ab77d9-2f56-473c-b576-8771c5a48635
2023-06-08 16:54:14.636656,2023-06-08 16:54:14.636636,"{""base"":""stations"",""city"":""Kathmandu"",""clouds"":{""all"":20},""cod"":200,""coord"":{""lat"":27.7167,""lon"":85.3167},""dt"":1686243254,""id"":1282682,""main"":{""feels_like"":25.56,""grnd_level"":null,""humidity"":57,""pressure"":1011,""sea_level"":null,""temp"":25.47,""temp_max"":25.47,""temp_min"":25.12},""name"":""Thapathali"",""sys"":{""country"":""NP"",""sunrise"":1686180156,""sunset"":1686229980,""id"":2080684,""type"":2},""timezone"":20700,""visibility"":8000,""weather"":[{""description"":""few clouds"",""icon"":""02n"",""id"":801,""main"":""Clouds""}],""wind"":{""deg"":90,""gust"":null,""speed"":3.09}}",c1e2002f-1625-4453-adce-0a55b11fb19c
2023-06-08 15:52:48.178965,2023-06-08 15:52:48.178949,"{""base"":""stations"",""city"":""Kathmandu"",""clouds"":{""all"":20},""cod"":200,""coord"":{""lat"":27.7167,""lon"":85.3167},""dt"":1686239513,""id"":1282682,""main"":{""feels_like"":26.02,""grnd_level"":null,""humidity"":56,""pressure"":1010,""sea_level"":null,""temp"":26.02,""temp_max"":26.02,""temp_min"":25.12},""name"":""Thapathali"",""sys"":{""country"":""NP"",""sunrise"":1686180156,""sunset"":1686229980,""id"":2080684,""type"":2},""timezone"":20700,""visibility"":8000,""weather"":[{""description"":""few clouds"",""icon"":""02n"",""id"":801,""main"":""Clouds""}],""wind"":{""deg"":90,""gust"":null,""speed"":3.6}}",f159e093-0337-4331-bee3-cee36f2c74d3
